Estas plantillas coinciden con su entrada:

Nombre de la pl...  Nombre corto                            Idioma      Etiquetas                                                                                                                                                                                                               
DevExpress v26....  dx.wpf.item.pdfviewer                   [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.piechart                    [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.pivot                       [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.propertygrid                [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.reporting                        [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.ribbon                      [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.ribbon                           [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.richeditor                  [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.scheduler                   [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.splashscreen                [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.spreadsheet                 [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.spreadsheettogrid           [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.populatespreadsheet         [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.stackedareachart            [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.stackedbarchart             [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.mdi                              [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.treelist                    [C#],VB     DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.view                        [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.viewviewmodel               [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.viewmodel                   [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.window                      [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.wpf.item.wordtopdf                   [C#]        DevExpress/Windows/WPF                                                                                                                                                                                                  
DevExpress v26....  dx.xaf                                  [C#]        DevExpress/Windows/Linux/Desktop/WinForms/Web/Blazor/Security/Authentication/Authorization/Service/API/Cloud/EF Core/Access Control/RBAC/Swagger/OData/Reporting/Dashboard/Validation/Audit Trail/Office/File Management
DevExpress v26....  dx.xaf.entityobject                     [C#]        DevExpress/XAF/EF                                                                                                                                                                                                       
DevExpress v26....  dx.xaf.viewcontroller                   [C#]        DevExpress/XAF                                                                                                                                                                                                          
DevExpress v26....  dx.xaf.windowcontroller                 [C#]        DevExpress/XAF                                                                                                                                                                                                          
DevExpress v26....  dx.xaf.domainobject                     [C#]        DevExpress/XAF/XPO                                                                                                                                                                                                      
Elemento de pru...  nunit-test                              [C#],F#,VB  Test/NUnit                                                                                                                                                                                                              
MCP Server App      mcpserver                               [C#]        Common/AI/MCP                                                                                                                                                                                                           
MVC de ViewStart    viewstart                               [C#]        Web/ASP.NET                                                                                                                                                                                                             
MVC ViewImports     viewimports                             [C#]        Web/ASP.NET                                                                                                                                                                                                             
Proyecto de pru...  mstest                                  [C#],F#,VB  Test/MSTest/Desktop/Web                                                                                                                                                                                                 
Proyecto de pru...  mstest-playwright                       [C#]        Test/MSTest/Playwright/Desktop/Web                                                                                                                                                                                      
Proyecto de pru...  nunit                                   [C#],F#,VB  Test/NUnit/Desktop/Web                                                                                                                                                                                                  
Proyecto de pru...  nunit-playwright                        [C#]        Test/NUnit/Playwright/Desktop/Web                                                                                                                                                                                       
Proyecto de pru...  xunit                                   [C#],F#,VB  Test/xUnit/Desktop/Web                                                                                                                                                                                                  
Página de Razor     page                                    [C#]        Web/ASP.NET                                                                                                                                                                                                             
Servicio gRPC d...  grpc                                    [C#]        Web/gRPC/API/Service                                                                                                                                                                                                    
Vista de Razor      view                                    [C#]        Web/ASP.NET                                                                                                                                                                                                             
Worker Service      worker                                  [C#],F#     Common/Worker/Web                                                                                                                                                                                                       

